Dataset Size,Trial 1,Trial 2,Trial 3,Mean
10,0.000001763,0.000000221,0.000000170,0.000000718
10,0.000000060,0.000000040,0.000000050,0.000000050
10,0.000000220,0.000000040,0.000000050,0.000000103
10,0.000000260,0.000000150,0.000000100,0.000000170
10,0.000000171,0.000000120,0.000000090,0.000000127
100,0.000007764,0.000002064,0.000002254,0.000004027
100,0.000000140,0.000000090,0.000000110,0.000000113
100,0.000000230,0.000000190,0.000000221,0.000000214
100,0.000016851,0.000003747,0.000003597,0.000008065
100,0.000002514,0.000002445,0.000002324,0.000002428
1000,0.000038722,0.000031409,0.000032271,0.000034134
1000,0.000000602,0.000000631,0.000000721,0.000000651
1000,0.000002124,0.000001813,0.000001873,0.000001937
1000,0.000415439,0.000282580,0.000498124,0.000398714
1000,0.000306855,0.000279605,0.000356378,0.000314279
10000,0.000347061,0.000243046,0.000231494,0.000273867
10000,0.000005049,0.000005009,0.000006753,0.000005604
10000,0.000015159,0.000011672,0.000011712,0.000012848
10000,0.028000783,0.026588425,0.026227297,0.026938835
10000,0.017674754,0.018258763,0.016934533,0.017622683
25000,0.000581200,0.000533590,0.000540042,0.000551611
25000,0.000012534,0.000012494,0.000012504,0.000012511
25000,0.000018866,0.000018715,0.000018725,0.000018769
25000,0.168506305,0.171405208,0.161430176,0.167113896
25000,0.109731024,0.107664004,0.108118134,0.108504387
50000,0.001027436,0.000968105,0.000964638,0.000986726
50000,0.000029215,0.000024957,0.000024987,0.000026386
50000,0.000037540,0.000037411,0.000037420,0.000037457
50000,0.643061305,0.710670681,0.720362362,0.691364783
50000,0.447503060,0.476651196,0.488839340,0.470997865
75000,0.001817107,0.001534326,0.001529829,0.001627087
75000,0.000038312,0.000038111,0.000038131,0.000038185
75000,0.000057317,0.000057127,0.000057167,0.000057204
75000,1.504044746,1.428055855,1.417623471,1.449908024
75000,0.951571991,0.957725690,0.945627059,0.951641580
100000,0.002125225,0.002025267,0.002005610,0.002052034
100000,0.000050805,0.000058260,0.000049352,0.000052806
100000,0.000080070,0.000073839,0.000073909,0.000075939
100000,2.527757965,2.558832427,2.532042634,2.539544342
100000,1.681611933,1.685981728,1.682152440,1.683248700
